hotel,lead_time,arrival_date_week_number,arrival_date_day_of_month,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,has_children,is_domestic,arrival_date_month_April,arrival_date_month_August,arrival_date_month_December,arrival_date_month_February,arrival_date_month_January,arrival_date_month_July,arrival_date_month_June,arrival_date_month_March,arrival_date_month_May,arrival_date_month_November,arrival_date_month_October,arrival_date_month_September,meal_BB,meal_HB,meal_Other,meal_SC,market_segment_Direct,market_segment_Offline_TA_TO,market_segment_Online_TA,market_segment_Other,distribution_channel_Direct,distribution_channel_Other,distribution_channel_TA_TO,reserved_room_type_A,reserved_room_type_D,reserved_room_type_E,reserved_room_type_Other,customer_type_Other,customer_type_Transient,customer_type_Transient_Party,is_canceled
0.0,0.034976152623211444,0.3076923076923077,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.02462962962962963,0.0,0.2,0.05357142857142857,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.17647058823529413,0.5384615384615384,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01337962962962963,0.0,0.0,0.05357142857142857,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.670906200317965,0.4423076923076923,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.016666666666666666,0.0,0.0,0.017857142857142856,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.0,0.0,0.019230769230769232,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.012592592592592593,0.0,0.0,0.017857142857142856,0.04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.009538950715421303,0.17307692307692307,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.009166666666666667,0.0,0.0,0.10714285714285714,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.49761526232114467,0.19230769230769232,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.015666666666666666,0.0,0.6,0.05357142857142857,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.14626391096979333,0.6346153846153846,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.01983333333333333,0.0,0.2,0.08928571428571429,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.0,0.0,0.4230769230769231,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.017857142857142856,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.35135135135135137,0.6153846153846154,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.37595907928388744,0.017777777777777778,0.0,0.2,0.017857142857142856,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.09220985691573927,0.6346153846153846,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.027838888888888892,0.3333333333333333,0.0,0.08928571428571429,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
